"K: kommitment, ansonsten Kürzel der Person (AN,JM,RW,BW)",,,,,,GV-Vorjahr,"196.625,88 €",,,K,BW,AN,RW,JM,,,,,,,,,,
,,SV-Beitrag: Sozialversicherungsbeitrag,"IS: int, Std.",,,Umsatz:,"1.404.608,67 €",,Umsatz ,"891.211,50 €","103.781,15 €","114.604,86 €","141.023,61 €","257.768,70 €",,,,,,,,,,
KA: Kontoabschluss,,UstVZ: Umsatzsteuervorauszahlung,BN: Bonus,,,Kosten:,"758.346,88 €",,Kosten netto (-19%),"758.346,88 €","4.238,40 €","8.009,11 €","9.612,33 €","7.750,43 €",,,,,,,,,,
GV: Gewinnvorab,,GV-Vorjahr: Gewinnverteilung Vorjahr,,,,AR ausstehend,"34.626,33 €",,KG Erlös/Anteil,"132.864,62 €",,,,,,,,,,,,,,
ER: Eingangsrechnung,,GWSteuer: Gewerbesteuer,,,,AR bezahlt,"1.855.884,65 €",,KG Erlös-Rückstellung/Anteil,"132.864,62 €",,"44.288,21 €","44.288,21 €","44.288,21 €",,,,,,,,,,
AR: Ausgangsrechnung,,LNSteuer: Lohnsteurer,,,,ER ungezahlt,"0,00 €",,Auszahlung bisher,,,"96.000,00 €","159.958,00 €","113.283,00 €",,,,,,,,,,
Jahr,,2016,,,,ER gezahlt,"902.432,79 €",,GwSt. Anteil,,,"14.300,38 €","16.678,06 €","27.185,12 €",,,,,,,,,,
KommitmentAnteil,,25%,,,,UstVZ:,"203.025,09 €",,% GW-Anteile,,,"24,59%","28,67%","46,74%",,,,,,,,,,
Vertriebsanteil,,5%,,,,GV ausgezahlt,"370.741,00 €",,erwarteter Anteil,,,"48.592,69 €","8.675,75 €","161.588,78 €","154.646,55 €",,,,,,,,,
Gewerbesteuer,,9%,,,,Umsatz-Kosten,"646.261,79 €",,70% Anteil - Auszahlung,,,"4.304,48 €","-35.612,46 €","117.300,58 €",,,,,,,,,,
Umsatzsteuer,,19%,,,,sonstiges,"148.044,35 €",,,,,Gewinnanteil Kommanditist vor Gsteuer,,,,Vertriebsanteil Kommanditist,,,,Netto Rechnungsposition,,,,
BeuteRückstellung,,0,,,,Kontostand,"281.160,04 €",=Kontostand,,"891.211,50 €","103.781,15 €","114.604,86 €","141.023,61 €","257.768,70 €","488,33 €","2.440,17 €","5.865,42 €","62.480,40 €","147.561,17 €","161.199,56 €","193.083,13 €","278.983,28 €","715.816,51 €",
0,"cost 
center",Betreff,Betrag (brutto),"Zuordnung
Mnt","File 
angelegt","Papier 
im Ordner","
Buchungstag
Wertstellung","246.144,50",,Kommitment,BW,AN,RW,JM,BW,AN,RW,JM,BW,AN,RW,JM,Extern,Plausi
ER,K,"hauptsache.net, Büro- und Konfimiete","824,78 €",2017-01,1.1.2017,13.1.2017,2.1.2017,"245.319,72 €",,,,,,,,,,,,,,,,
GV,AN,Anke,"4.000,00 €",2017-01,1.1.2017,n.n. JM,2.1.2017,"241.319,72 €",,,,,,,,,,,,,,,,
GV,RW,Ralf,"6.000,00 €",2017-01,1.1.2017,n.n. JM,2.1.2017,"235.319,72 €",,,,,,,,,,,,,,,,
GV,JM,Johannes,"6.000,00 €",2017-01,1.1.2017,n.n. JM,2.1.2017,"229.319,72 €",,,,,,,,,,,,,,,,
ER,RW,Flug OOP MUC -> HH,"193,55 €",2017-01,6.1.2017,,4.1.2017,"229.126,17 €",,,,,,,,,,,,,,,,
ER,AN,mite,"5,00 €",2017-01,6.1.2017,,6.1.2017,"229.121,17 €",,,,,,,,,,,,,,,,
ER,K,20170104-Belegabrechnung-BB-JM-01,"497,68 €",2017-01,8.1.2017,8.1.2017,8.1.2017,"228.623,49 €",,,,,,,,,,,,,,,,
GV,AN,Anke,"2.000,00 €",2017-01,10.1.2017,,10.1.2017,"226.623,49 €",,,,,,,,,,,,,,,,
UstVZ,K,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST NOV.16 8.622,13EUR","8.622,13 €",2017-01,,,13.1.2017,"218.001,36 €",,,,,,,,,,,,,,,,
ER,RW,Bahncard 25,"62,00 €",2017-01,,,16.1.2017,"217.939,36 €",,,,,,,,,,,,,,,,
GV-Vorjahr,RW,BV 2016,"30.000,00 €",2017-01,,,16.1.2017,"187.939,36 €",,,,,,,,,,,,,,,,
ER,K,20170110-Belegabrechnung-BB-JM,"677,51 €",2017-01,18.1.2017,,18.1.2017,"187.261,85 €",,,,,,,,,,,,,,,,
ER,K,"Ministry für BB, RN: 38961, 38987, 38991","4.284,00 €",2017-01,27.1.2017,bei Jochen,27.1.2017,"182.977,85 €",,,,,,,,,,,,,,,,
ER,K,Jutta Eckstein für BB,"18.046,35 €",2017-01,27.1.2017,bei Jochen,27.1.2017,"164.931,50 €",,,,,,,,,,,,,,,,
ER,AN,Wolkesicher,"4,99 €",2017-01,31.1.2017,bei Jochen,30.1.2017,"164.926,51 €",,,,,,,,,,,,,,,,
ER,K,Kontoführung GLS,"18,33 €",2017-01,31.1.2017,bei Jochen,31.1.2017,"164.908,18 €",,,,,,,,,,,,,,,,
ER,AN,Belegabrechnung Anke,"160,35 €",2017-01,31.1.2017,bei Jochen,31.1.2017,"164.747,83 €",,,,,,,,,,,,,,,,
GV,AN,Anke,"6.000,00 €",2017-02,1.2.2017,bei Jochen,1.2.2017,"158.747,83 €",,,,,,,,,,,,,,,,
GV,JM,Johannes,"6.000,00 €",2017-02,1.2.2017,bei Jochen,1.2.2017,"152.747,83 €",,,,,,,,,,,,,,,,
GV,RW,Ralf,"6.000,00 €",2017-02,1.2.2017,bei Jochen,1.2.2017,"146.747,83 €",,,,,,,,,,,,,,,,
ER,K,Sven Roepstorff für BB,"10.219,13 €",2017-01,1.2.2017,bei Jochen,1.2.2017,"136.528,70 €",,,,,,,,,,,,,,,,
ER,AN,Reisekosten WP (gehört zu BA Anke Januar),"99,50 €",2017-01,31.1.2017,bei Jochen,2.2.2017,"136.429,20 €",,,,,,,,,,,,,,,,
ER,K,Ulrike Klode,"2.856,00 €",2017-02,2.2.2017,bei Jochen,2.2.2017,"133.573,20 €",,,,,,,,,,,,,,,,
ER,RW,Belegabrechnung Ralf Januar,"714,90 €",2017-02,3.2.2017,bei Jochen,3.2.2017,"132.858,30 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Website","3.570,00 €",2017-02,6.2.2017,bei Jochen,6.2.2017,"129.288,30 €",,,,,,,,,,,,,,,,
ER,AN,"SEPA-Basislastschrift
YOLK DANKT MITE.YO.LK
SLV6184335262 04.02 03.25 Y
olk dankt mite.yo.lk 201702
-28399-295693","5,00 €",2017-02,,bei Jochen,7.2.2017,"129.283,30 €",,,,,,,,,,,,,,,,
ER,K,Ulrike Klode,"2.142,00 €",2017-02,10.2.2017,bei Jochen,10.2.2017,"127.141,30 €",,,,,,,,,,,,,,,,
AR,AN,moebel.de,"4.730,25 €",2017-01,31.1.2017,bei Jochen,10.2.2017,"131.871,55 €",,"795,00 €","0,00 €","2.981,25 €","0,00 €","0,00 €","0,00 €","198,75 €","0,00 €","0,00 €",,"3.975,00 €",,,,
AR,JM,RN_20170131-picue,"17.225,25 €",2017-01,6.2.2017,bei Jochen,10.2.2017,"149.096,80 €",,"2.895,00 €","0,00 €","0,00 €","7.560,00 €","3.296,25 €","0,00 €","0,00 €","0,00 €","723,75 €",,,"10.800,00 €","3.675,00 €",,"17.220,75 €"
