Befehl:,soll SKR03,haben SKR03,profit center, ,Betreff,Betrag (brutto),"Zuordnung
Mnt",Buchungstag Wertstellung,"0,00 €",grün ist okay,BW,AN,RW,JM,KR,IK,SR,Extern,Rest
SKR03,9000,956,K,,EB: Anfangsbestand aus 2016 auf Rückstellung,"41.420,00 €",2017-01,1.1.2017,"0,00 €",,,,,,,,,,
SKR03,9000,920,RW,,EB: 9790 Restanteil 2016 nach Abzug der GV,"43.723,81 €",2017-01,1.1.2017,"0,00 €", ,,,,,,,,,
SKR03,9000,920,AN,,EB: 9790 Restanteil 2016 nach Abzug der GV,"31.568,20 €",2017-01,1.1.2017,"0,00 €",,,,,,,,,,
SKR03,9000,920,JM,,EB: 9790 Restanteil 2016 nach Abzug der GV,"121.333,87 €",2017-01,1.1.2017,"0,00 €",,,,,,,,,,
SKR03,9000,920,RW,,EB: Hafteinlage aus Restanteil 2016,"500,00 €",2017-01,1.1.2017,"0,00 €",,,,,,,,,,
SKR03,9000,920,AN,,EB: Hafteinlage aus Restanteil 2016,"500,00 €",2017-01,1.1.2017,"0,00 €",,,,,,,,,,
SKR03,9000,920,JM,,EB: Hafteinlage aus Restanteil 2016,"500,00 €",2017-01,1.1.2017,"0,00 €",,,,,,,,,,
SKR03,9000,1600,JM,,EB: Verbindl. ggb. Kommanditisten Mainusch 2016,"140,00 €",2017-01,1.1.2017,"0,00 €",,,,,,,,,,
SKR03,9000,1600,RW,,EB: Verbindl. ggb. Kommanditisten Wirdemann 2016,"480,98 €",2017-01,1.1.2017,"0,00 €",,,,,,,,,,
SKR03,9000,1600,AN,,EB: Verbindl. ggb. Kommanditist Nehrenberg 2016,"550,98 €",2017-01,1.1.2017,"0,00 €",,,,,,,,,,
SKR03,1200,9000,K,,EB: Anfangsbestand Bankkonto,"170.875,80 €",2017-01,1.1.2017,"170.875,80 €",,,,,,,,,,
SKR03,25,9000,K,,EB: 25 Ähnliche Rechte und Werte,"4.400,00 €",2017-01,1.1.2017,"170.875,80 €",,,,,,,,,,
SKR03,410,9000,K,,EB: Geschäftsausstattung,"772,00 €",2017-01,1.1.2017,"170.875,80 €",,,,,,,,,,
SKR03,1400,9000,K,,EB: Forderungen aus L&L,"92.981,65 €",2017-01,1.1.2017,"170.875,80 €",,,,,,,,,,
SKR03,1548,9000,K,,EB: Vorst. in Folgeperiode /-jahr abziehbar,"2.134,87 €",2017-01,1.1.2017,"170.875,80 €",,,,,,,,,,
SKR03,1595,9000,K,,EB: Ford. g. verb. Untern.,"29,75 €",2017-01,1.1.2017,"170.875,80 €",,,,,,,,,,
SKR03,9000,1600,K,,EB: Verbindl. aus Lieferungen u. Leistungen,"14.513,42 €",2017-01,1.1.2017,"170.875,80 €",,,,,,,,,,
SKR03,9000,731,K,,EB: Verb. ggü. anderen Gesellschaftern,"1.888,71 €",2017-01,1.1.2017,"170.875,80 €",,,,,,,,,,
SKR03,9000,1770,K,,EB: sonstige Verbindlkichkeiten Ust.,"14.074,10 €",2017-01,1.1.2017,"170.875,80 €",  ,,,,,,,,,
SKR03,1600,1200,K,,Spende Digital Media Women,"300,00 €",2017-01,2.1.2017,"170.575,80 €",,,,,,,,,,
SKR03,1600,1200,K,,"hauptsache.net, Konfimiete","565,25 €",2017-01,2.1.2017,"170.010,55 €",,,,,,,,,,
SKR03,1600,1200,K,,Rechnung Julia Kottkamp,"600,00 €",2017-01,2.1.2017,"169.410,55 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Büro- und Konfimiete","824,78 €",2017-01,2.1.2017,"168.585,77 €",,,,,,,,,,
GV,,,AN,,Anke,"4.000,00 €",2017-01,2.1.2017,"164.585,77 €",,,,,,,,,,
GV,,,JM,,Johannes,"6.000,00 €",2017-01,2.1.2017,"158.585,77 €",,,,,,,,,,
GV,,,RW,,Ralf,"6.000,00 €",2017-01,2.1.2017,"152.585,77 €",,,,,,,,,,
SKR03,1600,1200,K,,Sven Röpstorff für Berenberg,"11.968,43 €",2017-01,3.1.2017,"140.617,34 €",,,,,,,,,,
ER,,,RW,,Flug OOP MUC -> HH,"193,55 €",2017-01,4.1.2017,"140.423,79 €",,,,,,,,,,
SKR03,1200,1400,K,,Berenberg-Belegabrechnung 12/2016,"510,97 €",2017-01,4.1.2017,"140.934,76 €",,,,,,,,,,
SKR03,1200,1400,JM,,Berenberg Dez 2016,"77.335,37 €",2017-01,4.1.2017,"218.270,13 €",,,,,,,,,,
SKR03,1600,1200,RW,,Belegabrechnung RW 12-2016,"480,98 €",2017-01,6.1.2017,"217.789,15 €",,,,,,,,,,
ER,,,AN,,mite,"5,00 €",2017-01,6.1.2017,"217.784,15 €",,,,,,,,,,
ER,,,K,,20170104-Belegabrechnung-BB-JM-01,"497,68 €",2017-01,8.1.2017,"217.286,47 €","217.286,47 €",,,,,,,,,
SKR03,1600,1200,K,,Steuerkasse Gründung - Ausgleich GmbH,"140,00 €",2017-01,9.1.2017,"217.146,47 €",,,,,,,,,,
SKR03,1600,1200,K,,Notargebühr - Ausgleich GmbH,"157,68 €",2017-01,9.1.2017,"216.988,79 €",,,,,,,,,,
SKR03,1200,1600,K,,"Erstattung Fehlüberweisung Thiemer & Ralf, Buchführung Gf GmbH & Co. KG August 2016","190,40 €",2017-01,9.1.2017,"217.179,19 €",,,,,,,,,,
SKR03,1600,1200,K,,ThiemerRalf - Nr.10745-005,"190,49 €",2017-01,9.1.2017,"216.988,70 €",,,,,,,,,,
SKR03,1600,1200,K,,"Thiemer-Ralf, Rechnung kommitment KG 10745-007","797,30 €",2017-01,9.1.2017,"216.191,40 €",,,,,,,,,,
GV,,,AN,,Anke,"2.000,00 €",2017-01,10.1.2017,"214.191,40 €","226.623,49 €",,,,,,,,,
SKR03,1600,1200,AN,,Telefonkosten Anke,"282,46 €",2017-01,10.1.2017,"213.908,94 €",,,,,,,,,,
SKR03,1200,1400,JM,,Picue/Globe4Go Dezember,"14.421,31 €",2017-01,10.1.2017,"228.330,25 €",,,,,,,,,,
UstVZ,,,K,,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST NOV.16 8.622,13EUR","8.622,13 €",2017-01,13.1.2017,"219.708,12 €",,,,,,,,,,
SKR03,1600,1200,AN,,"SEPA-Basislastschrift
Telekom Deutschland GmbH
MOBILFUNK KUNDENKONTO 00004
7280704 0020300109012641/03
.01.17","40,04 €",2017-01,16.1.2017,"219.668,08 €",,,,,,,,,,
ER,,,RW,,Bahncard 25,"62,00 €",2017-01,16.1.2017,"219.606,08 €",,,,,,,,,,
GV-Vorjahr,,,RW,,BV 2016,"30.000,00 €",2017-01,16.1.2017,"189.606,08 €",,,,,,,,,,
SKR03,1600,1200,JM,,2016-12-30-33C3 - Buchungen 2016.pdf,"140,00 €",2017-01,18.1.2017,"189.466,08 €",,,,,,,,,,
SKR03,1600,1200,AN,,2016-12-30-33C3 - Buchungen 2016,"140,00 €",2017-01,18.1.2017,"189.326,08 €",,,,,,,,,,
ER,,,K,,20170110-Belegabrechnung-BB-JM,"677,51 €",2017-01,18.1.2017,"188.648,57 €",,,,,,,,,,
SKR03,1600,1200,AN,,Google for Works,"108,05 €",2017-01,23.1.2017,"188.540,52 €",,,,,,,,,,
SKR03,1600,1200,K,,"SEPA-Basislastschrift
congstar GmbH
Kundennummer 2203095056/RG
7189218732 vom 19.01.17","49,64 €",2017-01,26.1.2017,"188.490,88 €",,,,,,,,,,
ER,,,K,,"Ministry für BB, RN: 38961, 38987, 38991","4.284,00 €",2017-01,27.1.2017,"184.206,88 €",,,,,,,,,,
ER,,,K,,Jutta Eckstein für BB,"18.046,35 €",2017-01,27.1.2017,"166.160,53 €",,,,,,,,,,
ER,,,AN,,Wolkesicher,"4,99 €",2017-01,30.1.2017,"166.155,54 €","166.155,54 €",,,,,,,,,
ER,,,K,,Kontoführung GLS,"18,33 €",2017-01,31.1.2017,"166.137,21 €",,,,,,,,,,
ER,,,AN,,Belegabrechnung Anke,"160,35 €",2017-01,31.1.2017,"165.976,86 €",,,,,,,,,,
ER,,,K,,Sven Roepstorff für BB,"10.219,13 €",2017-01,1.2.2017,"155.757,73 €",,,,,,,,,,
GV,,,RW,,Ralf,"6.000,00 €",2017-02,1.2.2017,"149.757,73 €",,,,,,,,,,
GV,,,JM,,Johannes,"6.000,00 €",2017-02,1.2.2017,"143.757,73 €",,,,,,,,,,
GV,,,AN,,Anke,"6.000,00 €",2017-02,1.2.2017,"137.757,73 €",,,,,,,,,,
ER,,,AN,,Reisekosten WP (gehört zu BA Anke Januar),"99,50 €",2017-01,2.2.2017,"137.658,23 €",,,,,,,,,,
ER,,,K,,Ulrike Klode,"2.856,00 €",2017-02,2.2.2017,"134.802,23 €",,,,,,,,,,
ER,,,RW,,Belegabrechnung Ralf Januar,"714,90 €",2017-02,3.2.2017,"134.087,33 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Website","3.570,00 €",2017-02,6.2.2017,"130.517,33 €",,,,,,,,,,
SKR03,25,4200,K,,"hauptsache.net, Website --> Umbuchung des netto Betrags auf Anlagenkonto","3.000,00 €",2017-02,6.2.2017,"130.517,33 €",,,,,,,,,,
ER,,,AN,,mite,"5,00 €",2017-02,7.2.2017,"130.512,33 €",,,,,,,,,,
SKR03,1200,1400,JM,,"Losstech, Boris Hajek","714,00 €",2017-01,10.2.2017,"131.226,33 €",,,,,,,,,,
ER,,,K,,Ulrike Klode,"2.142,00 €",2017-02,10.2.2017,"129.084,33 €",,,,,,,,,,
AR,,,AN,,moebel.de,"4.730,25 €",2017-01,10.2.2017,"133.814,58 €","135.956,58 €",,"3.975,00 €",,,,,,,"0,00 €"
AR,,,JM,,RN_20170131-picue,"17.225,25 €",2017-01,10.2.2017,"151.039,83 €",,,,"10.800,00 €","3.675,00 €",,,,,"0,00 €"
AR,,,JM,,Berenberg RN_20170131,"15.518,34 €",2017-01,14.2.2017,"166.558,17 €",,,,,"2.306,25 €",,,,"10.734,37 €","0,00 €"
UstVZ,,,K,,Steuerkasse Hamburg Ust 2016,"14.371,47 €",2017-01,15.2.2017,"152.186,70 €",,,,,,,,,,
ER,,,K,,Rundfunkbeitrag,"29,15 €",2017-02,15.2.2017,"152.157,55 €",,,,,,,,,,
ER,,,K,,Internet-Registerauskunft (HR-Auszug),"4,50 €",2017-02,16.2.2017,"152.153,05 €",,,,,,,,,,
AR,,,JM,,Berenberg RN_20170131 - TEIL2,"4.267,28 €",2017-01,17.2.2017,"156.420,33 €",,,,,,,,,"3.585,95 €","0,00 €"
ER,,,K,,"Re-2017-06, Kanban-Coaching Operations für Berenberg","3.614,63 €",2017-01,20.2.2017,"152.805,70 €",,,,,,,,,,
ER,,,AN,,"SEPA-Basislastschrift
Telekom Deutschland GmbH
MOBILFUNK KUNDENKONTO 00004
7280704 0020417444012641/06
.02.17","37,95 €",2017-02,20.2.2017,"152.767,75 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Domains","64,26 €",2017-02,20.2.2017,"152.703,49 €",,,,,,,,,,
GWSteuer,4320,1200,K,,"SEPA-Basislastschrift STEUERKASSE HAMBURG STEUERNR 048/638/01147 GEW. ST 1VJ.17 5.160,00EUR","5.160,00 €",2017-02,20.2.2017,"147.543,49 €",,,,,,,,,,
ER,,,K,,"SEPA-Basislastschrift
GLS Gemeinschaftsbank eG
MASTERCARD Abrechnung","50,00 €",2017-02,21.2.2017,"147.493,49 €",,,,,,,,,,
ER,,,RW,,"Internet-Euro-Überweisung
Ralf Wirdemann
BIC:INGDDEFFXXX
IBAN:DE82500105175401478930
Datum: 21.02.17 Zeit: 21:43
UFT 0020630894 TAN 504004
Belegabrechnung 02/2017","308,37 €",2017-02,22.2.2017,"147.185,12 €",,,,,,,,,,
